CMDLINE /opt/homebrew/anaconda3/bin/python examples/prov4ml_torch.py
MEM 0.171875 1744798212.4659
MEM 35.703125 1744798212.5711
MEM 68.281250 1744798212.6762
MEM 103.187500 1744798212.7799
MEM 147.796875 1744798212.8852
MEM 167.437500 1744798212.9925
MEM 180.890625 1744798213.0978
MEM 187.593750 1744798213.2029
MEM 199.453125 1744798213.3081
MEM 218.656250 1744798213.4132
MEM 242.328125 1744798213.5183
MEM 261.562500 1744798213.6216
MEM 270.328125 1744798213.7267
MEM 287.000000 1744798213.8299
MEM 318.078125 1744798213.9351
MEM 332.312500 1744798214.0403
MEM 346.828125 1744798214.1454
MEM 359.218750 1744798214.2466
MEM 371.625000 1744798214.3517
MEM 383.375000 1744798214.4550
MEM 392.250000 1744798214.5602
MEM 407.968750 1744798214.6654
MEM 423.093750 1744798214.7705
MEM 436.062500 1744798214.8757
MEM 443.984375 1744798214.9807
MEM 465.718750 1744798215.0859
MEM 471.750000 1744798215.1900
MEM 471.734375 1744798215.2951
MEM 471.734375 1744798215.3980
MEM 471.734375 1744798215.5031
MEM 471.734375 1744798215.6082
MEM 471.734375 1744798215.7133
MEM 471.734375 1744798215.8183
MEM 471.734375 1744798215.9235
MEM 471.734375 1744798216.0286
MEM 471.828125 1744798216.1341
MEM 471.828125 1744798216.2382
MEM 471.828125 1744798216.3436
MEM 471.828125 1744798216.4472
MEM 471.828125 1744798216.5527
MEM 471.828125 1744798216.6580
MEM 471.828125 1744798216.7609
MEM 471.828125 1744798216.8662
MEM 471.828125 1744798216.9716
MEM 471.843750 1744798217.0738
MEM 471.859375 1744798217.1792
MEM 471.859375 1744798217.2802
MEM 471.859375 1744798217.3856
MEM 471.859375 1744798217.4910
MEM 471.859375 1744798217.5961
MEM 471.859375 1744798217.7015
MEM 471.859375 1744798217.8075
MEM 471.859375 1744798217.9126
MEM 471.859375 1744798218.0163
MEM 471.937500 1744798218.1207
MEM 471.937500 1744798218.2245
MEM 471.937500 1744798218.3297
MEM 471.937500 1744798218.4349
MEM 471.937500 1744798218.5402
MEM 471.937500 1744798218.6405
MEM 471.937500 1744798218.7459
MEM 471.937500 1744798218.8514
MEM 471.937500 1744798218.9567
MEM 471.937500 1744798219.0568
MEM 472.625000 1744798219.1623
MEM 475.453125 1744798219.2674
MEM 585.171875 1744798219.3715
MEM 614.875000 1744798219.4767
MEM 615.234375 1744798219.5819
MEM 615.296875 1744798219.6870
MEM 615.359375 1744798219.7922
MEM 615.390625 1744798219.8973
MEM 615.437500 1744798220.0025
MEM 615.453125 1744798220.1048
MEM 615.703125 1744798220.2102
MEM 615.750000 1744798220.3154
MEM 615.781250 1744798220.4205
MEM 615.812500 1744798220.5256
MEM 615.812500 1744798220.6308
MEM 615.828125 1744798220.7359
MEM 615.843750 1744798220.8410
MEM 615.843750 1744798220.9462
MEM 615.968750 1744798221.0513
MEM 615.984375 1744798221.1565
MEM 616.015625 1744798221.2616
MEM 616.031250 1744798221.3668
MEM 616.062500 1744798221.4719
MEM 616.062500 1744798221.5739
MEM 616.093750 1744798221.6790
MEM 616.109375 1744798221.7798
MEM 616.140625 1744798221.8810
MEM 616.140625 1744798221.9812
MEM 616.156250 1744798222.0863
MEM 616.171875 1744798222.1882
MEM 616.187500 1744798222.2933
MEM 616.187500 1744798222.3965
MEM 616.187500 1744798222.5017
MEM 616.218750 1744798222.6068
MEM 616.234375 1744798222.7119
MEM 616.250000 1744798222.8149
MEM 616.250000 1744798222.9175
MEM 616.265625 1744798223.0215
MEM 616.281250 1744798223.1236
MEM 616.328125 1744798223.2288
MEM 616.359375 1744798223.3339
MEM 616.390625 1744798223.4382
MEM 616.390625 1744798223.5433
MEM 616.421875 1744798223.6466
MEM 616.421875 1744798223.7517
MEM 616.437500 1744798223.8548
MEM 616.437500 1744798223.9599
MEM 616.453125 1744798224.0632
MEM 616.453125 1744798224.1683
MEM 616.468750 1744798224.2715
MEM 616.500000 1744798224.3739
MEM 616.531250 1744798224.4791
MEM 616.578125 1744798224.5842
MEM 616.593750 1744798224.6893
MEM 616.593750 1744798224.7945
MEM 616.578125 1744798224.8965
MEM 616.578125 1744798224.9995
MEM 616.609375 1744798225.1046
MEM 616.625000 1744798225.2098
MEM 616.890625 1744798225.3131
MEM 616.890625 1744798225.4183
MEM 616.921875 1744798225.5234
MEM 616.937500 1744798225.6286
MEM 616.984375 1744798225.7298
MEM 616.953125 1744798225.8350
MEM 616.968750 1744798225.9355
MEM 616.984375 1744798226.0381
MEM 617.000000 1744798226.1433
MEM 617.015625 1744798226.2465
MEM 617.031250 1744798226.3517
MEM 617.031250 1744798226.4568
MEM 617.031250 1744798226.5620
MEM 617.062500 1744798226.6671
MEM 617.093750 1744798226.7688
MEM 617.109375 1744798226.8740
MEM 617.156250 1744798226.9740
MEM 617.156250 1744798227.0792
MEM 617.281250 1744798227.1793
MEM 617.312500 1744798227.2835
MEM 617.343750 1744798227.3880
MEM 617.390625 1744798227.4932
MEM 617.359375 1744798227.5983
MEM 617.375000 1744798227.7034
MEM 617.390625 1744798227.8047
MEM 617.390625 1744798227.9099
MEM 617.406250 1744798228.0131
MEM 617.421875 1744798228.1143
MEM 617.437500 1744798228.2195
MEM 617.484375 1744798228.3246
MEM 617.468750 1744798228.4298
MEM 617.468750 1744798228.5349
MEM 617.484375 1744798228.6400
MEM 617.484375 1744798228.7452
MEM 617.500000 1744798228.8493
MEM 617.515625 1744798228.9544
MEM 617.531250 1744798229.0595
MEM 617.562500 1744798229.1647
MEM 617.578125 1744798229.2698
MEM 617.578125 1744798229.3749
MEM 617.843750 1744798229.4798
MEM 617.906250 1744798229.5849
MEM 617.906250 1744798229.6901
MEM 617.906250 1744798229.7952
MEM 617.921875 1744798229.9004
MEM 617.937500 1744798230.0026
MEM 617.953125 1744798230.1077
MEM 617.953125 1744798230.2129
MEM 617.968750 1744798230.3180
MEM 617.984375 1744798230.4214
MEM 618.000000 1744798230.5228
MEM 618.046875 1744798230.6280
MEM 618.062500 1744798230.7331
MEM 618.078125 1744798230.8382
MEM 618.093750 1744798230.9433
MEM 618.093750 1744798231.0484
MEM 618.109375 1744798231.1536
