CMDLINE /opt/homebrew/anaconda3/bin/python examples/prov4ml_torch.py
MEM 619.640625 1744798141.7116
MEM 619.640625 1744798141.8167
MEM 619.656250 1744798141.9208
MEM 619.750000 1744798142.0260
MEM 619.781250 1744798142.1264
MEM 619.812500 1744798142.2316
MEM 619.812500 1744798142.3367
MEM 619.828125 1744798142.4419
MEM 619.859375 1744798142.5470
MEM 619.859375 1744798142.6522
MEM 619.937500 1744798142.7574
MEM 619.921875 1744798142.8597
MEM 619.921875 1744798142.9649
MEM 619.937500 1744798143.0700
MEM 619.953125 1744798143.1752
MEM 619.953125 1744798143.2775
MEM 619.968750 1744798143.3826
MEM 620.000000 1744798143.4847
MEM 620.015625 1744798143.5880
MEM 620.031250 1744798143.6933
MEM 620.046875 1744798143.7984
MEM 620.062500 1744798143.9035
MEM 620.109375 1744798144.0086
MEM 620.078125 1744798144.1138
MEM 620.109375 1744798144.2189
MEM 620.109375 1744798144.3241
MEM 620.125000 1744798144.4264
MEM 620.187500 1744798144.5316
MEM 620.171875 1744798144.6367
MEM 620.187500 1744798144.7418
MEM 620.203125 1744798144.8469
MEM 620.218750 1744798144.9520
MEM 620.250000 1744798145.0572
MEM 620.265625 1744798145.1622
MEM 620.296875 1744798145.2674
MEM 620.312500 1744798145.3680
MEM 620.312500 1744798145.4732
MEM 620.343750 1744798145.5783
MEM 620.343750 1744798145.6834
MEM 620.390625 1744798145.7847
MEM 620.406250 1744798145.8898
MEM 620.421875 1744798145.9949
MEM 620.468750 1744798146.1001
MEM 620.468750 1744798146.2025
MEM 620.515625 1744798146.3076
MEM 620.484375 1744798146.4128
MEM 620.531250 1744798146.5179
MEM 620.531250 1744798146.6231
MEM 620.515625 1744798146.7272
MEM 620.531250 1744798146.8274
MEM 620.531250 1744798146.9299
MEM 620.562500 1744798147.0317
MEM 620.609375 1744798147.1369
MEM 620.625000 1744798147.2421
MEM 620.640625 1744798147.3472
MEM 620.671875 1744798147.4524
MEM 620.671875 1744798147.5554
MEM 620.687500 1744798147.6606
MEM 620.718750 1744798147.7638
MEM 620.734375 1744798147.8690
MEM 620.734375 1744798147.9721
MEM 620.750000 1744798148.0773
MEM 620.765625 1744798148.1805
MEM 620.781250 1744798148.2857
MEM 620.781250 1744798148.3908
MEM 620.796875 1744798148.4959
MEM 620.796875 1744798148.6004
MEM 620.843750 1744798148.7055
MEM 620.875000 1744798148.8106
MEM 620.890625 1744798148.9139
MEM 620.921875 1744798149.0191
MEM 620.937500 1744798149.1209
MEM 620.953125 1744798149.2221
MEM 620.953125 1744798149.3273
MEM 620.968750 1744798149.4304
MEM 620.984375 1744798149.5356
MEM 620.984375 1744798149.6408
MEM 621.015625 1744798149.7417
MEM 621.046875 1744798149.8469
MEM 621.078125 1744798149.9521
MEM 621.062500 1744798150.0572
MEM 621.062500 1744798150.1624
MEM 621.062500 1744798150.2638
MEM 621.156250 1744798150.3689
MEM 621.171875 1744798150.4741
MEM 621.187500 1744798150.5792
MEM 621.187500 1744798150.6805
MEM 621.234375 1744798150.7856
MEM 621.234375 1744798150.8888
MEM 621.250000 1744798150.9940
MEM 621.281250 1744798151.0991
MEM 621.296875 1744798151.2043
MEM 621.312500 1744798151.3094
MEM 621.328125 1744798151.4138
MEM 621.328125 1744798151.5189
MEM 621.343750 1744798151.6241
MEM 621.359375 1744798151.7292
MEM 621.359375 1744798151.8343
MEM 621.390625 1744798151.9388
MEM 621.375000 1744798152.0405
MEM 621.375000 1744798152.1457
MEM 621.390625 1744798152.2509
MEM 621.437500 1744798152.3555
MEM 621.578125 1744798152.4607
MEM 621.609375 1744798152.5623
MEM 621.625000 1744798152.6639
MEM 621.671875 1744798152.7658
MEM 621.687500 1744798152.8709
MEM 621.671875 1744798152.9758
MEM 621.703125 1744798153.0809
MEM 621.734375 1744798153.1860
MEM 621.750000 1744798153.2887
MEM 621.765625 1744798153.3890
MEM 621.781250 1744798153.4942
MEM 621.781250 1744798153.5993
MEM 621.796875 1744798153.7044
MEM 621.812500 1744798153.8096
MEM 621.828125 1744798153.9147
MEM 621.859375 1744798154.0198
MEM 621.859375 1744798154.1249
MEM 621.890625 1744798154.2301
MEM 621.890625 1744798154.3353
MEM 621.906250 1744798154.4388
MEM 621.921875 1744798154.5439
MEM 621.921875 1744798154.6447
MEM 621.937500 1744798154.7498
MEM 621.953125 1744798154.8549
MEM 621.968750 1744798154.9600
MEM 622.000000 1744798155.0638
MEM 622.015625 1744798155.1689
MEM 622.031250 1744798155.2741
MEM 622.031250 1744798155.3792
MEM 622.046875 1744798155.4804
MEM 622.062500 1744798155.5855
MEM 622.078125 1744798155.6887
MEM 622.093750 1744798155.7939
MEM 622.125000 1744798155.8971
MEM 622.140625 1744798156.0023
MEM 622.171875 1744798156.1074
MEM 622.187500 1744798156.2126
MEM 622.203125 1744798156.3177
MEM 622.234375 1744798156.4229
MEM 622.234375 1744798156.5280
MEM 622.250000 1744798156.6304
MEM 622.281250 1744798156.7356
MEM 622.281250 1744798156.8388
MEM 622.312500 1744798156.9439
MEM 622.359375 1744798157.0471
MEM 622.343750 1744798157.1522
MEM 622.343750 1744798157.2554
MEM 622.390625 1744798157.3605
MEM 622.390625 1744798157.4638
MEM 622.390625 1744798157.5689
MEM 622.421875 1744798157.6721
MEM 622.421875 1744798157.7772
MEM 622.437500 1744798157.8805
