Country code,Bioenergy,Coal,Gas,Hydro,Nuclear,Other Fossil,Other Renewables,Solar,Wind,ISO3,ISO2
AFG,0.0,0.0,0.0519480519480519,0.5974025974025974,0.0,0.3116883116883117,0.0,0.0389610389610389,0.0,AFG,AF
ALB,0.0,0.0,0.03690036900369,0.918819188191882,0.0,0.03690036900369,0.0,0.007380073800738,0.0,ALB,
DZA,0.0,0.0,0.9153543307086616,0.0051181102362204,0.0,0.0614173228346456,0.0,0.0177165354330708,0.0003937007874015,DZA,DZ
ASM,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ASM,AS
AGO,0.0086505190311418,0.0,0.1245674740484429,0.6453287197231834,0.0,0.1712802768166089,0.0,0.0501730103806228,0.0,AGO,AO
ATG,0.0,0.0,0.0,0.0,0.0,0.8571428571428572,0.0,0.1428571428571428,0.0,ATG,AG
ARG,0.0087016258300893,0.0114495076711701,0.4806503320357225,0.2379207694069155,0.0400732768490954,0.1039615296542248,0.0,0.0322876116326997,0.0849553469200824,ARG,AR
ARM,0.0,0.0,0.5012224938875305,0.3300733496332518,0.1100244498777506,0.0,0.0,0.0586797066014669,0.0,ARM,AM
ABW,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,0.0,0.0384615384615384,0.1153846153846153,ABW,AW
AUS,0.0082505156572285,0.2143258953684605,0.2535158447402962,0.0791299456216013,0.0,0.0227826739171198,0.0,0.3157697356084755,0.1062253890868179,AUS,AU
AUT,0.0291948371235402,0.0,0.1594960049170252,0.4520590043023971,0.0,0.0193607867240319,0.0076828518746158,0.2098955132145052,0.1223110018438844,AUT,AT
AZE,0.0,0.0,0.8172942817294282,0.1617852161785216,0.0,0.0,0.00557880055788,0.00697350069735,0.00836820083682,AZE,AZ
BHS,0.0,0.0,0.0,0.0,0.0,0.9893617021276596,0.0,0.0106382978723404,0.0,BHS,BS
BHR,0.0,0.0,0.9942196531791908,0.0,0.0,0.0,0.0,0.0057803468208092,0.0,BHR,BH
BGD,0.0004017677782241,0.1916432302129369,0.4576134993973483,0.0092406588991562,0.0,0.3101647247890719,0.0,0.0309361189232623,0.0,BGD,BD
BRB,0.0,0.0,0.0,0.0,0.0,0.8108108108108107,0.0,0.1891891891891892,0.0,BRB,BB
BLR,0.0121527777777777,0.0,0.8437500000000001,0.0086805555555555,0.1015625,0.0,0.0,0.0234375,0.0104166666666666,BLR,BY
BEL,0.0275334608030592,0.0,0.2707456978967495,0.0045889101338432,0.1468451242829828,0.007265774378585,0.005736137667304,0.3269598470363289,0.2103250478011472,BEL,BE
BLZ,0.1999999999999999,0.0,0.0,0.3,0.0,0.4499999999999999,0.0,0.0499999999999999,0.0,BLZ,BZ
BEN,0.0,0.0,0.3939393939393938,0.0,0.0,0.515151515151515,0.0,0.0909090909090908,0.0,BEN,BJ
BMU,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,BMU,BM
BTN,0.0,0.0,0.0,0.995726495726496,0.0,0.0042735042735042,0.0,0.0,0.0,BTN,BT
BOL,0.0628140703517587,0.0,0.6407035175879396,0.185929648241206,0.0,0.0326633165829145,0.0,0.0427135678391959,0.0351758793969849,BOL,BO
BIH,0.002375296912114,0.4964370546318291,0.0,0.4370546318289787,0.0,0.0,0.0,0.0308788598574821,0.0332541567695962,BIH,BA
BWA,0.0,0.9012345679012344,0.0,0.0,0.0,0.0864197530864197,0.0,0.0123456790123456,0.0,BWA,BW
BRA,0.07765444655729,0.0140627072922655,0.0821209039048335,0.486003626232698,0.0088002476451598,0.0368814398797152,0.0,0.165612700658913,0.1288639278291248,BRA,BR
BRN,0.0,0.180327868852459,0.8114754098360656,0.0,0.0,0.0081967213114754,0.0,0.0,0.0,BRN,BN
BGR,0.0034387895460797,0.3514442916093535,0.0825309491059147,0.1740027510316368,0.1382393397524071,0.0,0.0,0.202200825309491,0.0481430536451169,BGR,BG
BFA,0.0,0.0,0.0,0.0588235294117647,0.0,0.7647058823529412,0.0,0.1764705882352941,0.0,BFA,BF
BDI,0.0,0.0,0.0,0.5,0.0,0.4166666666666667,0.0,0.0833333333333333,0.0,BDI,BI
CPV,0.0,0.0,0.0,0.0,0.0,0.7727272727272728,0.0,0.0909090909090909,0.1363636363636363,CPV,CV
KHM,0.0117370892018779,0.3309859154929577,0.0,0.3943661971830986,0.0,0.1502347417840375,0.0,0.1126760563380281,0.0,KHM,KH
CMR,0.0,0.0,0.1848739495798319,0.680672268907563,0.0,0.1260504201680672,0.0,0.0084033613445378,0.0,CMR,CM
CAN,0.0172876694388055,0.03097374107786,0.154934188985659,0.5455438412677625,0.0873551175430554,0.0149302599698775,0.0,0.0377185515028485,0.1112566302141313,CAN,CA
CYM,0.0,0.0,0.0,0.0,0.0,0.9473684210526316,0.0,0.0526315789473684,0.0,CYM,KY
CAF,0.0,0.0,0.0,0.2222222222222222,0.0,0.7777777777777778,0.0,0.0,0.0,CAF,CF
TCD,0.0,0.0,0.4285714285714285,0.0,0.0,0.5714285714285714,0.0,0.0,0.0,TCD,TD
CHL,0.0,0.1291338582677165,0.1467716535433071,0.2352755905511811,0.0,0.0774803149606299,0.00251968503937,0.2667716535433071,0.1420472440944881,CHL,CL
CHN,0.0065986091554355,0.4095591827351361,0.0471098307422627,0.1331216414264777,0.0204423977700508,0.005352165292106,0.0,0.2190867553665335,0.1587294175119974,CHN,CN
COL,0.0161290322580645,0.076036866359447,0.1986175115207373,0.6087557603686636,0.0,0.0682027649769585,0.0,0.0313364055299539,0.0009216589861751,COL,CO
